時間戳記	生理性別	最高學歷	您的年齡	目前月薪資水平(台幣)	您是否已婚？	"您目前是否有結婚意願(不論單身與否)
已婚者可以是否後悔結婚來考量"	您認同買房是影響多數人結婚的重要因素嗎？	請問買房影響您結婚意願的程度為？	您對結婚一定得買房的認同度為何？	請問您認為自己目前薪資能獨自負擔逐年攀升的房價的程度為？	您認同買房會影響到個人生活水平的程度為？	您認為政府在買房上已擁有完善配套措施的程度為？	"請問您對下列可能使您擁有結婚意願的因素之認同度為何？
( 1 為非常不認同，5 為非常認同  ) [想要與心愛的人共組家庭]"	"請問您對下列可能使您擁有結婚意願的因素之認同度為何？
( 1 為非常不認同，5 為非常認同  ) [想要小孩]"	"請問您對下列可能使您擁有結婚意願的因素之認同度為何？
( 1 為非常不認同，5 為非常認同  ) [想要讓伴侶關係被法律所認同]"	"請問您對下列可能使您擁有結婚意願的因素之認同度為何？
( 1 為非常不認同，5 為非常認同  ) [傳統上結婚是人生的必經之路]"	"請問您對下列可能使您擁有結婚意願的因素之認同度為何？
( 1 為非常不認同，5 為非常認同  ) [想要伴侶一同承擔責任]"	"請問您對下列可能影響您結婚意願的經濟因素之認同度為何？
( 1 為非常不認同，5 為非常認同  ) [不想因為結婚犧牲現有生活水平]"	"請問您對下列可能影響您結婚意願的經濟因素之認同度為何？
( 1 為非常不認同，5 為非常認同  ) [無法負擔高額房價]"	"請問您對下列可能影響您結婚意願的經濟因素之認同度為何？
( 1 為非常不認同，5 為非常認同  ) [無法負擔結婚開銷]"	"請問您對下列可能影響您結婚意願的經濟因素之認同度為何？
( 1 為非常不認同，5 為非常認同  ) [想要先穩定事業再組建家庭]"	"請問您對下列可能影響您結婚意願的經濟因素之認同度為何？
( 1 為非常不認同，5 為非常認同  ) [無法負擔子女教養費用]"	"請問您對下列可能影響您結婚意願的非經濟因素之認同度為何？
( 1 為非常不認同，5 為非常認同  ) [只需要情感需求，不想綁定法律義務]"	"請問您對下列可能影響您結婚意願的非經濟因素之認同度為何？
( 1 為非常不認同，5 為非常認同  ) [害怕要與對方家庭磨合]"	"請問您對下列可能影響您結婚意願的非經濟因素之認同度為何？
( 1 為非常不認同，5 為非常認同  ) [不知是否對方值得信任]"	"請問您對下列可能影響您結婚意願的非經濟因素之認同度為何？
( 1 為非常不認同，5 為非常認同  ) [不想養小孩]"	"請問您對下列可能影響您結婚意願的非經濟因素之認同度為何？
( 1 為非常不認同，5 為非常認同  ) [婚後會失去自由]"	"請問您對下列可能影響您結婚意願的非經濟因素之認同度為何？
( 1 為非常不認同，5 為非常認同  ) [沒有對象]"	"請問您對下列可能影響您結婚意願的非經濟因素之認同度為何？
( 1 為非常不認同，5 為非常認同  ) [害怕婚姻失敗]"
2023/12/14 下午 5:00:58	女	大學	21～29	0～19999	否	1	5	5	5	1	5	1	5	1	5	1	5	5	5	5	5	5	5	5	5	5	5	5	5
2023/12/14 下午 5:24:24	男	大學	21～29	0～19999	否	4	2	2	3	1	4	1	4	4	4	4	3	4	2	2	4	2	3	3	3	1	1	5	2
2023/12/14 下午 5:42:12	男	大學	21～29	20000～39999	否	5	1	1	1	1	5	1	5	5	5	1	5	1	1	1	1	1	1	1	1	1	1	5	1
2023/12/14 下午 5:50:49	男	大學	30～39	20000～39999	否	2	5	5	3	1	5	2	3	3	3	3	2	1	5	5	3	5	1	4	3	3	4	3	4
2023/12/14 下午 6:16:42	女	大學	40～49	20000～39999	否	1	2	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2023/12/14 下午 6:36:09	女	大學	21～29	20000～39999	否	4	3	3	3	1	5	3	5	3	5	4	4	3	4	4	3	4	3	3	3	4	4	3	3
2023/12/14 下午 7:39:15	男	碩士	21～29	60000~79999	否	1	5	4	4	2	5	1	3	1	4	1	2	5	5	4	5	5	3	4	3	5	5	3	4
2023/12/14 下午 7:50:54	男	大學	18～20	0～19999	否	1	4	3	4	2	4	2	3	1	3	3	3	3	3	4	3	3	3	3	2	3	2	3	3
2023/12/14 下午 8:12:24	女	高中	21～29	0～19999	否	1	1	1	1	1	4	3	3	1	5	1	2	5	5	5	2	5	3	5	4	5	1	5	1
2023/12/15 下午 2:25:38	男	大學	21～29	20000～39999	否	5	3	2	2	1	4	1	5	4	3	1	3	3	5	5	3	5	3	5	3	2	3	5	5
2023/12/15 下午 2:33:13	男	大學	18～20	0～19999	否	4	5	4	5	1	3	2	5	3	3	4	5	4	3	2	5	3	2	4	5	3	3	5	4
2023/12/15 下午 4:19:27	男	大學	21～29	20000～39999	否	4	3	5	5	2	4	3	5	2	5	2	5	5	5	3	3	5	2	5	5	5	2	5	5
2023/12/15 下午 6:15:07	女	大學	21～29	0～19999	否	1	4	4	4	1	4	2	3	1	3	1	3	5	5	5	5	5	3	5	5	5	4	5	5
2023/12/15 下午 6:57:58	男	大學	21～29	20000～39999	否	5	2	1	5	1	5	1	4	5	4	4	5	3	4	2	5	5	2	2	4	1	1	3	1
2023/12/15 下午 7:08:08	女	大學	21～29	0～19999	否	1	4	1	1	1	3	1	5	1	5	1	1	3	5	3	3	5	1	4	3	5	3	4	1
2023/12/15 下午 7:43:44	女	大學	21～29	0～19999	否	3	1	1	1	1	4	1	5	1	3	1	4	5	2	5	5	5	3	5	5	5	4	3	5
2023/12/16 上午 5:31:27	女	大學	50～59	60000~79999	是	1	3	2	2	2	5	2	5	2	5	1	2	4	4	4	4	4	1	5	4	4	2	1	4
2023/12/16 上午 5:44:27	男	大學	50～59	20000～39999	是	2	3	1	1	2	3	2	3	3	1	1	1	5	2	3	2	4	4	3	2	3	4	4	1
2023/12/16 上午 6:26:37	男	高中	40～49	0～19999	否	1	4	4	4	1	5	1	3	2	3	1	2	5	5	5	5	5	5	5	5	5	5	5	5
2023/12/16 上午 7:04:40	男	碩士	50～59	80000~99999	是	1	5	5	5	5	5	2	5	5	5	5	5	5	5	4	4	5	1	1	2	1	2	4	2
2023/12/16 上午 7:31:02	女	碩士	40～49	80000~99999	否	3	3	2	4	2	4	3	4	2	3	2	3	4	2	1	1	2	2	2	3	1	3	5	1
2023/12/16 上午 7:57:47	男	博士	40～49	60000~79999	否	5	5	1	5	5	5	2	5	5	4	3	3	3	2	2	2	1	1	3	4	1	4	3	4
2023/12/16 上午 8:27:27	男	碩士	40～49	20000～39999	是	2	2	1	2	3	3	1	4	4	4	3	3	2	2	2	3	2	1	1	2	3	1	1	1
2023/12/16 上午 8:32:28	男	碩士	60～69	40000～59999	是	5	3	3	3	2	4	1	4	2	2	3	2	2	4	2	2	2	2	2	3	2	2	2	2
2023/12/16 上午 8:34:28	男	大學	50～59	40000～59999	是	5	2	3	4	3	4	1	5	4	5	5	5	5	5	5	5	5	4	4	4	2	3	3	5
2023/12/16 上午 8:34:50	男	碩士	60～69	60000~79999	是	5	3	3	1	5	3	1	5	3	5	5	3	1	3	1	3	1	5	3	1	3	3	3	1
2023/12/16 上午 8:37:11	女	碩士	50～59	80000~99999	是	1	2	2	3	2	4	1	4	3	3	2	3	2	3	1	3	1	2	3	2	1	1	1	1
2023/12/16 上午 8:43:07	男	大學	50～59	100000~119000	是	5	2	3	2	4	2	3	3	3	3	3	2	2	3	2	3	3	1	3	4	1	1	2	2
2023/12/16 上午 8:51:09	男	碩士	50～59	80000~99999	是	5	4	5	5	4	5	3	3	3	3	3	1	1	2	1	2	2	1	2	2	1	2	2	2
2023/12/16 上午 8:51:50	男	碩士	50～59	40000～59999	是	3	5	5	3	1	5	1	5	3	5	3	5	5	5	3	5	3	3	3	3	3	3	3	3
2023/12/16 上午 8:59:00	男	碩士	50～59	60000~79999	是	1	5	3	3	3	5	1	3	3	3	2	2	3	3	2	2	2	3	3	3	2	3	3	2
2023/12/16 上午 9:02:44	男	碩士	50～59	60000~79999	是	3	1	1	2	2	5	1	4	4	4	2	4	2	2	2	2	2	3	3	3	2	4	4	1
2023/12/16 上午 9:08:28	男	碩士	50～59	60000~79999	是	1	4	4	4	3	5	1	4	2	4	4	3	3	4	4	3	3	3	3	3	3	3	3	3
2023/12/16 上午 9:22:39	男	碩士	30～39	40000～59999	否	3	3	1	1	2	3	1	4	4	4	4	4	4	2	4	4	4	4	5	4	2	4	5	4
2023/12/16 上午 9:27:26	男	碩士	50～59	40000～59999	是	4	5	4	4	4	5	2	4	1	3	3	3	4	3	3	2	4	1	2	2	2	2	1	2
2023/12/16 上午 9:48:37	男	碩士	50～59	80000~99999	是	1	4	4	4	2	5	1	4	2	1	1	4	4	3	3	4	2	4	3	2	2	3	3	1
2023/12/16 上午 9:53:59	男	大學	60～69	60000~79999	是	3	4	3	4	3	3	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
2023/12/16 上午 10:24:59	男	博士	60～69	80000~99999	是	1	5	5	5	3	3	3	3	3	3	3	3	2	2	2	2	3	2	2	2	2	2	2	2
2023/12/16 上午 10:36:07	男	碩士	30～39	60000~79999	否	1	5	5	3	3	5	2	3	1	3	1	3	5	4	4	1	1	5	4	3	5	5	3	5
2023/12/16 上午 10:53:22	男	大學	50～59	20000～39999	是	1	4	4	3	1	5	1	4	3	4	3	3	4	3	2	3	2	2	3	3	2	2	3	3
2023/12/16 上午 11:00:42	男	碩士	50～59	60000~79999	是	5	3	1	5	2	2	1	5	5	5	5	5	1	2	2	5	2	1	2	1	1	1	1	1
2023/12/16 上午 11:52:18	男	碩士	30～39	80000~99999	否	3	4	4	3	1	5	1	4	5	4	3	5	3	3	2	3	3	3	5	5	3	5	2	5
2023/12/16 下午 12:07:00	男	高中	21～29	20000～39999	否	3	4	4	2	1	4	4	5	3	4	3	2	3	5	4	5	4	3	3	4	1	1	4	5
2023/12/16 下午 12:20:54	男	碩士	50～59	60000~79999	否	3	5	2	3	3	4	2	5	4	5	4	4	4	4	4	4	4	4	4	4	3	3	5	4
2023/12/16 下午 1:32:22	男	博士	60～69	60000~79999	是	5	2	1	1	1	4	1	5	4	5	5	5	2	4	4	4	4	2	2	5	1	1	5	1
2023/12/16 下午 1:59:54	女	高中	18～20	40000～59999	否	3	3	2	2	3	2	2	4	3	4	2	2	4	3	3	4	4	2	2	3	2	2	2	3
2023/12/16 下午 2:36:08	女	碩士	40～49	80000~99999	是	4	1	2	1	3	2	1	4	4	4	2	4	2	2	1	4	1	2	2	2	2	2	2	2
2023/12/16 下午 3:48:18	女	碩士	40～49	80000~99999	是	4	2	2	2	2	5	1	4	3	2	2	5	4	2	2	4	2	2	4	5	2	5	5	3
2023/12/16 下午 4:23:27	女	大學	21～29	40000～59999	否	2	2	3	1	1	5	1	3	1	2	1	2	5	5	5	5	5	4	5	4	5	5	1	5
2023/12/17 下午 10:07:27	女	碩士	40～49	80000~99999	是	1	1	1	1	3	5	1	5	3	4	1	1	3	3	3	3	3	3	3	3	3	3	3	3
